SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
D34796NV       ,PantCaReUsfPanDAZZ V,POLY/2P2B ,DAZZ,DAZZ,24,273.84,"6,572.16",0.5,19,"9,612.98","4,017.43",41.8,"4,410.02",45.9,6.8,577,44.2,75,7,
D34725BK       ,PantCiReBroPdeDAZZ V,POLY/NEGR ,DAZZ,DAZZ,61,273.84,"16,704.24",1.4,19,"9,541.23","4,089.18",42.9,"4,350.58",45.6,3.2,271,23.8,147,4,
D34725NV       ,PantCiReBroPdeDAZZ V,POLY/AZUL ,DAZZ,DAZZ,30,273.84,"8,215.20",0.7,18,"9,254.28","3,658.74",39.5,"4,332.37",46.8,5.5,488,37.5,147,17,
HP9372NV       ,PantCaTuPanCHOCO V  ,RAYO/2PCB ,CHOC,CHOCOLATE,19,267.17,"5,076.23",0.4,19,"9,401.68","3,733.02",39.7,"4,325.45",46,8,682,50,75,15,
HJ8103OFWH     ,ChaqClCasMlCHOCO V  ,POLY/BLAN ,CHOC,CHOCOLATE,152,347.31,"52,791.12",4.7,14,"9,140.85","4,189.53",45.8,"4,278.51",46.8,1.1,93,8.4,75,7,
BE4124MZ       ,BlusClBotM3/4PAPER V,POLY/MOST ,XPAM,PAPERMOON,6,237.46,"1,424.76",0.1,22,"9,488.40","3,807.30",40.1,"4,264.28",44.9,15.5,1268,78.6,51,9,
J59WH          ,JeanCaAcaPdeCIELO V ,ALGD/1P1B ,CIEL,CIELO,41,298.52,"12,239.32",1,18,"9,572.56","4,436.12",46.3,"4,199.20",43.9,4.3,338,30.5,51,6,
BE4233IVBK     ,BlusCcaBotMlPAPER V ,POLY/RAYA ,XPAM,PAPERMOON,15,249.27,"3,739.05",0.3,21,"9,393.52","4,210.91",44.8,"4,158.85",44.3,9.9,785,58.3,64,3,
61551BK        ,ChaqCcaBotMlAMBIA V ,POLY/NEGR ,AMBI,AMBIANCE,31,296.43,"9,189.33",0.6,22,"10,646.02","4,562.58",42.9,"4,124.56",38.7,6.3,398,41.5,2248,8,
HJ8153CML      ,ChumCoZipMlCHOCO V  ,ALGD/CAME ,CHOC,CHOCOLATE,34,347.31,"11,808.54",0.5,28,"13,806.60","12,854.16",93.1,"4,081.92",29.6,7,294,45.2,75,3,
