SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
T4365TPBK      ,BlusClCollMcKLAXO U ,POLY/BORD ,CELI,CELINE BY,2,233.12,466.24,0.9,1,423.05,181.3,42.9,189.93,44.9,4.8,391,33.3,212,50,
JB7228DGY      ,JumpCortUsfZENAN U  ,LINE/GRIS ,ZENA,ZENANA,4,205.04,820.16,1.7,1,392.61,168.26,42.9,187.57,47.8,2.7,244,20,143,44,
65581XLRD      ,BlusClCaUsfMmAMBIA U,RAYO/ROJO ,AMBI,AMBIANCE,0,104.51,0,0,2,395.66,169.56,42.9,186.64,47.2,24,2143,100,148,57,
4197BK         ,BlusClCasClSmFIRST U,POLY/BORD ,FIRS,FIRST LOOK,6,225.74,"1,354.44",2.6,1,410.87,176.09,42.9,185.13,45.1,1.8,151,14.3,145,54,
W191NVBE       ,BlusCcaBotMlDIVA U  ,POLY/PELO ,DIVA,DIVA USA,2,238.12,476.24,0.9,1,423.05,181.3,42.9,184.93,43.7,6,466,33.3,146,18,
1132715WH      ,BlusCvUsfM34BAJEE U ,RAYO/BLAN ,BECO,BE COOL,2,198.43,396.86,0.9,1,380.44,163.04,42.9,182.01,47.8,4.8,440,33.3,147,120,
90509BBE       ,BlusCvCasM34CATWA U ,ALGD/BEIG ,CATW,CATWALK,1,211.66,211.66,0.4,1,392.61,168.26,42.9,180.95,46.1,8,684,50,147,94,
B1580BKBE      ,BlusClCasMmSKYPL U  ,POLY/RAYA ,SKYP,SKY PLUS,4,211.66,846.64,1.7,1,392.61,168.26,42.9,180.95,46.1,2.7,228,20,145,55,
B1586BKWH      ,BlusClCasMcSKYPL U  ,POLY/CUAD ,SKYP,SKY PLUS,2,211.66,423.32,0.9,1,392.61,168.26,42.9,180.95,46.1,4.8,410,33.3,145,37,
QT2144TL       ,BlusCvCasM34ZENAN U ,RAYO/TEAL ,ZENA,ZENANA,2,158.74,317.48,0.4,2,495.65,330.43,66.7,178.17,35.9,8,449,50,143,42,
SO747BK        ,PantyNyloUsfMUSIC U ,NYLO/NEGR ,JOIA,JOIA TRADING,19,52.91,"1,005.29",4.1,2,279.4,49.3,17.6,173.58,62.1,1.2,202,9.5,2254,59,
BT6607NV       ,BlusClCasMmPAPER U  ,POLY/AZUL ,XPAM,PAPERMOON,4,211.66,846.64,1.7,1,380.44,163.04,42.9,168.78,44.4,2.7,213,20,147,70,
S40309BK       ,FaldCarZipPdeNIKIB U,POLY/NEGR ,NIKI,NIKIBIKI,5,211.66,"1,058.30",2.1,1,380.44,163.04,42.9,168.78,44.4,2.2,174,16.7,146,59,
5507RD         ,BlumeUsfNyloBASEI U ,NYLO/ROJO ,UNIO,UNION HOSIER,3,41.89,125.67,0.6,2,252.2,252.14,100,168.42,66.8,6,1206,40,143,25,
HT3225BKGY     ,BlusClcasM34CHOCO U ,POLY/RAYA ,CHOC,CHOCOLATE,4,119.06,476.24,0.9,2,412.7,176.86,42.9,166.66,40.4,4.5,307,33.3,436,18,
FB490099RD     ,BlusClCasM34DESSE U ,RAYA/ROJO ,KATE,KATE COLLECT,3,185.2,555.6,1.3,1,350,150,42.9,164.8,47.1,3.4,305,25,145,9,
T1514TL        ,BlusCvBotM34ACTIV U ,RAYO/TEAL ,ACTI,ACTIVE USA,10,185.2,"1,852.00",4.3,1,350,150,42.9,164.8,47.1,1.1,102,9.1,148,52,
T8644CL        ,BlusClCasMmKATE U   ,RAYO/FLOR ,KATE,KATE COLLECT,10,185.2,"1,852.00",4.3,1,350,150,42.9,164.8,47.1,1.1,102,9.1,145,64,
W161MZ         ,BlusClCasMlDIVA U   ,POLY/MOST ,DIVA,DIVA USA,0,185.2,0,0,1,350,150,42.9,164.8,47.1,24,2136,100,146,123,
W161TL         ,BlusClCasMlDIVA U   ,POLY/TEAL ,DIVA,DIVA USA,4,185.2,740.8,1.7,1,350,150,42.9,164.8,47.1,2.7,237,20,146,54,
BT6571BG       ,BlusClCasMmPAPER U  ,POLY/VINO ,XPAM,PAPERMOON,1,198.43,198.43,0.4,1,362.17,155.22,42.9,163.74,45.2,8,660,50,147,73,
