SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
HS7097RY       ,FaldCarZipPolCHOCO V,POLY/ROYA ,CHOC,CHOCOLATE,12,210.32,"2,523.84",0.4,12,"4,543.07","2,187.37",48.1,"2,019.23",44.4,8,640,50,53,8,
84359BE        ,BlumUsfPolyBIJOU V  ,POLY/BEIG ,KORU,KORUS SALES,50,38.45,"1,922.50",0.4,57,"4,209.30","6,694.80",159,"2,017.65",47.9,8.7,802,53.3,50,3,
D9721RD        ,VestFirZipM34KLAXO V,POLY/FLOR ,KLAX,KLAXONS,6,328.19,"1,969.14",0.5,5,"3,618.25","1,142.60",31.6,"1,977.30",54.6,7.1,851,45.5,51,9,
J2019BKWH      ,BlazCxBotM34IJOAH V ,ALGD/PUNT ,IJOA,I JOAH,7,323.37,"2,263.59",0.4,7,"4,239.55","1,816.99",42.9,"1,975.96",46.6,8,698,50,64,25,
D34867BK       ,PantCaAcaBrPanDAZZ V,POLY/2P1B ,DAZZ,DAZZ,3,300.56,901.68,0.2,7,"4,046.94","1,400.88",34.6,"1,943.02",48,12,1108,70,75,25,
HJ8053BKWH     ,JackCxZipMlCHOCO V  ,POLY/NEGR ,CHOC,CHOCOLATE,9,325.66,"2,930.94",0.6,6,"3,893.47","1,297.85",33.3,"1,939.51",49.8,6,596,40,52,35,
BE4250BKWH     ,VestClBotM3/4PAPER V,POLY/CUAD ,XPAM,PAPERMOON,6,312.09,"1,872.54",0.3,8,"4,436.07","1,790.01",40.4,"1,939.35",43.7,9.6,746,57.1,51,18,
HP9080DBN      ,PantCaTuPdeCHOCO V  ,RAYO/1PCB ,CHOC,CHOCOLATE,3,227.09,681.27,0.2,8,"3,747.00","1,087.80",29,"1,930.28",51.5,12.8,1360,72.7,75,9,
D9798BK        ,VestForFjaMmKARAG V ,RAYO/NEGR ,KARA,KARA GIRL,70,346.09,"24,226.30",5,6,"3,999.12","1,713.90",42.9,"1,922.58",48.1,1,91,7.9,52,8,
84359TQ        ,BlumUsfPolyBIJOU V  ,POLY/TURQ ,KORU,KORUS SALES,89,38.45,"3,422.05",1.3,30,"3,061.08","2,677.92",87.5,"1,907.58",62.3,3.5,575,25.2,50,4,
D9733BKWH      ,VestCarFjaSmKARAG U ,POLY/DISE ,KARA,KARA GIRL,0,335.72,0,0,4,"3,237.38",571.3,17.6,"1,894.50",58.5,24,3386,100,147,42,
2221RSV        ,BraziEncaPolySPREE V,POLY/ROSA ,KORU,KORUS SALES,268,54.28,"14,547.04",4.3,27,"3,339.57","4,173.45",125,"1,891.07",56.6,1.2,151,9.2,812,7,
6054RY         ,BlusClCollM34YABES V,POLY/ROYA ,YABE,YABES,5,244.24,"1,221.20",0.2,9,"4,081.32","1,749.15",42.9,"1,883.16",46.1,11.4,974,64.3,51,43,
TA8684NV       ,BlusClCasUsfMmMINE V,POLY/AZUL ,MINE,MINE EDGE,4,202.71,810.84,0.1,13,"4,501.27","2,224.80",49.4,"1,866.04",41.5,14.9,1052,76.5,73,8,
D5464LCBK      ,VestForClMcDRESS V  ,NYLO/NEGR ,DRES,DRESS CODE,16,232.85,"3,725.60",1.4,5,"3,028.25","1,297.85",42.9,"1,864.00",61.6,3.2,519,23.8,76,22,
D5861PTRD      ,VestForFjaSmDRESS V ,RAYO/ROJO ,DRES,DRESS CODE,9,358.03,"3,222.27",0.6,6,"3,999.12","1,713.90",42.9,"1,850.94",46.3,6,517,40,51,25,
WJ783DK        ,BlusCvBroM34CESTT U ,JEAN/AZUL ,CEST,C EST TOI,13,286.91,"3,729.83",0.9,6,"3,560.88","1,526.10",42.9,"1,839.42",51.7,4.5,481,31.6,148,3,
