SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
POWER66BK      ,SandMetPuTOPMO U    ,PLAN/NEGR ,TOPG,TOP GUY INTL,42,95.7,"4,019.40",0.7,17,"3,980.09","1,903.44",47.8,"2,355.45",59.2,4,586,28.8,229,11,
D013OFFWH      ,ZapPtMetPuADDIC T   ,PLAN/BLAN ,KHAN,HANG GUAN SH,172,118.26,"20,340.72",2,24,"5,191.44","3,114.72",60,"2,353.20",45.3,1.6,130,12.2,196,2,
880998BL       ,ZapTaMetCharTOOTA V ,TALT/AZUL ,KXIE,xie zhen mei,59,216.95,"12,800.05",2.8,6,"3,641.76",0,0,"2,340.06",64.3,1.2,209,9.2,76,17,
COOPER07BN     ,ZapDepAm5LonBRECK V ,PLAN/CAFE ,OPPO,OPPO ORIGINA,90,120.22,"10,819.80",2.3,11,"3,639.17",808.68,22.2,"2,316.75",63.7,1.4,242,10.9,284,8,
ES144714PW     ,ZapPtMetGltPuTOOTA V,PU/PEWT   ,KERI,Erin Shoes,173,122.94,"21,268.62",3.3,15,"4,153.11","1,038.24",25,"2,309.01",55.6,1,125,8,78,7,
96181ACML      ,ZapTcMetCharCAMIL V ,PLAN/CAME ,KTIN,TINA DA,115,159.31,"18,320.65",3.3,10,"3,897.36",433.04,11.1,"2,304.26",59.1,1,145,8,70,8,
SHAILENE90ND   ,SandTcMetHuleFOREV V,TCOR/NUDE ,FORL,FOREVER LINK,289,98.49,"28,463.61",8.3,10,"3,289.16",580.44,17.6,"2,304.26",70.1,0.4,95,3.3,103,2,
GARYHLTGD      ,ZapPtMetPuCITY V    ,PLAN/GOLD ,FORD,FORTUNE DINA,23,198.3,"4,560.90",0.5,12,"4,667.35","1,228.25",26.3,"2,287.75",49,5,477,34.3,80,34,
217988BK       ,ZapPtMetCoPuCAMIL T ,PLAN/NEGR ,KTIA,guangzhou Ti,43,154.89,"6,660.27",0.8,16,"4,763.44","2,165.20",45.5,"2,285.20",48,3.8,347,27.1,196,7,
12201CML       ,ZapPtMetGamCAMIL V  ,PLAN/CAME ,KTIN,TINA DA,197,113.75,"22,408.75",3.1,18,"4,326.18","1,903.44",44,"2,278.68",52.7,1,117,8.4,73,2,
092ND          ,ZapPtMetHulJELLY V  ,PLAN/NUDE ,KSWE,SWEETY SHOES,198,111.37,"22,051.26",3.3,17,"4,153.13","1,730.40",41.7,"2,259.84",54.4,1,118,7.9,62,3,
2015B2BK       ,ZapPtMetEscBUGS T   ,PLAN/NEGR ,KTIA,guangzhou Ti,90,157.13,"14,141.70",1.6,16,"4,763.44","2,165.20",45.5,"2,249.36",47.2,1.9,174,15.1,196,14,
198A8GD        ,ZapTbFiMetGliTOOTA V,TBAJ/PIED ,KXIE,xie zhen mei,29,159.22,"4,617.38",1.2,7,"3,363.04",258.69,7.7,"2,248.50",66.9,2.6,521,19.4,76,10,
CARTONSNDPU    ,SandTcMetPuCITYC U  ,TCOR/NUDE ,FORD,FORTUNE DINA,0,240.62,0,0,7,"3,928.28",302.17,7.7,"2,243.94",57.1,24,3197,100,528,35,
00608TBK       ,ZapDepAm4LonaMARIL V,PLAN/NEGR ,KDEM,DE METER,244,151.4,"36,941.60",6.3,11,"3,897.36",866.08,22.2,"2,231.96",57.3,0.5,71,4.3,78,7,
A2905SL        ,SandTaFiMetPuTOOTA V,TALT/PIED ,KXIE,xie zhen mei,54,256.82,"13,868.28",3.1,5,"3,513.92",390.43,11.1,"2,229.82",63.5,1.1,184,8.5,76,36,
PATRICIA01BK   ,BotiTcAm2GamuFOREV V,TCOR/NEGR ,FORL,FOREVER LINK,116,225.13,"26,115.08",2.8,12,"4,915.23","1,293.45",26.3,"2,226.39",45.3,1.2,98,9.4,255,24,
EMAILSBKIMSU   ,BotiTbAm4SuedSODA V ,TBAJ/NEGR ,FORD,FORTUNE DINA,47,307.71,"14,462.37",2.7,5,"3,760.85",0,0,"2,222.30",59.1,1.2,175,9.6,80,10,
H675BE         ,ZapPtMetSuedADDIC T ,PLAN/BEIG ,KHAN,HANG GUAN SH,61,111.55,"6,804.55",0.9,19,"4,326.19","2,249.52",52,"2,206.74",51,3.2,337,23.8,196,12,
FAIRY25WH      ,SandPtDedHuleFOREV V,PLAN/BLAN ,FORL,FOREVER LINK,187,98.49,"18,417.63",4.9,11,"3,287.87",519.12,15.8,"2,204.48",67,0.7,140,5.6,106,7,
B02A1SL        ,ZapPtMetBordBUGS T  ,PLAN/SILV ,KTIA,guangzhou Ti,109,123.02,"13,409.18",1.4,23,"5,018.39","2,941.68",58.6,"2,188.93",43.6,2.3,177,17.4,196,24,
D4243ABE       ,ZapPtMetSuePuADDIC T,PLAN/BEIG ,KHAN,HANG GUAN SH,289,85.77,"24,787.53",4.4,19,"3,807.07","2,768.64",72.7,"2,177.44",57.2,0.8,102,6.2,197,3,
SCRIBESBKCHPU  ,BotTmHebGamuSODA  V ,TMED/NEGR ,FORD,FORTUNE DINA,39,333.96,"13,024.44",1.6,7,"4,513.03",752.16,16.7,"2,175.31",48.2,2,184,15.2,67,8,
ES59983PESL    ,ZapPtMetTexPuTOOTA V,PU/SILV   ,KERI,Erin Shoes,54,121.51,"6,561.54",0.7,22,"4,845.34","2,768.64",57.1,"2,172.12",44.8,4.1,330,28.9,78,7,
CHASE76SLGT    ,ZapTaMetEscPuDELIC V,TALT/ESCA ,FORL,FOREVER LINK,31,168.85,"5,234.35",1.3,7,"3,363.04",258.69,7.7,"2,165.65",64.4,2.4,443,18.4,255,9,
RAY19WH        ,ZapPtMetLonTOPMO U  ,PLAN/LENT ,TOPG,TOP GUY INTL,25,92.6,"2,315.00",0.5,14,"3,460.94","1,384.32",40,"2,164.54",62.5,5.3,877,35.9,127,4,
TUNAS63BKNB    ,ZapTcMetGamuFOREV V ,TCOR/NEGR ,FORL,FOREVER LINK,63,168.85,"10,637.55",2,9,"3,680.84",216.52,5.9,"2,161.19",58.7,1.6,228,12.5,104,34,
